Category,Activity_Description,Spend_Amount,Spend_Currency,Emission_Factor,CO2e_Tonnes,Date,Supplier,Category_Details,Data_Quality
Category 10,Packaging Materials,283504.91,USD,1.482,420.15,2024-06-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 2,Employee Commuting,9124.39,USD,2.792,25.48,2024-03-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 1,Business Travel - Air,101956.78,USD,2.081,212.17,2024-03-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 14,Manufacturing Equipment,47576.65,USD,1.113,52.95,2024-02-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 1,Business Travel - Air,313176.53,USD,2.192,686.48,2024-04-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 12,Raw Materials - Aluminum,1542.07,USD,1.457,2.25,2024-03-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 11,Employee Commuting,5634.19,USD,2.102,11.84,2024-02-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 8,Raw Materials - Aluminum,115244.49,USD,0.314,36.19,2024-02-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 6,Manufacturing Equipment,69427.52,USD,2.332,161.9,2024-03-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 9,Product Use Phase,5228.9,USD,1.968,10.29,2024-08-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 11,Packaging Materials,460027.17,USD,1.867,858.87,2024-08-15,OfficeMax,Scope 3 emissions category,Primary data
Category 15,Raw Materials - Aluminum,70866.56,USD,0.413,29.27,2024-12-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 7,IT Hardware,395747.25,USD,0.781,309.08,2024-11-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 9,Product Use Phase,300403.93,USD,1.842,553.34,2024-12-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 4,Inbound Logistics - Truck,303856.51,USD,0.607,184.44,2024-07-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 13,Office Supplies,247948.97,USD,0.383,94.96,2024-08-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 15,Raw Materials - Steel,493454.38,USD,2.805,1384.14,2024-03-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 7,IT Hardware,273631.75,USD,0.56,153.23,2024-08-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 10,Raw Materials - Aluminum,7882.92,USD,0.686,5.41,2024-01-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 5,Inbound Logistics - Truck,383787.89,USD,1.3,498.92,2024-07-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 9,Product Use Phase,77187.54,USD,0.297,22.92,2024-02-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 9,IT Hardware,195975.02,USD,1.921,376.47,2024-11-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 12,Business Travel - Air,365249.23,USD,2.547,930.29,2024-01-15,OfficeMax,Scope 3 emissions category,Primary data
Category 15,Business Travel - Air,58877.3,USD,1.856,109.28,2024-01-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 2,Raw Materials - Steel,354242.4,USD,2.119,750.64,2024-03-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 9,Inbound Logistics - Truck,391710.56,USD,2.176,852.36,2024-03-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 12,Manufacturing Equipment,366734.98,USD,0.398,145.96,2024-01-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 5,Inbound Logistics - Truck,32872.12,USD,2.151,70.71,2024-10-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 8,Inbound Logistics - Truck,180701.82,USD,1.524,275.39,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 3,Manufacturing Equipment,386891.15,USD,2.688,1039.96,2024-11-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 12,Inbound Logistics - Truck,2281.68,USD,2.583,5.89,2024-01-15,OfficeMax,Scope 3 emissions category,Primary data
Category 8,IT Hardware,192106.76,USD,0.493,94.71,2024-01-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 6,Office Supplies,208712.04,USD,2.175,453.95,2024-05-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 6,Raw Materials - Aluminum,251518.43,USD,2.711,681.87,2024-03-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 1,Business Travel - Air,35394.29,USD,1.422,50.33,2024-05-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 2,Inbound Logistics - Truck,228916.34,USD,1.138,260.51,2024-05-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 4,Employee Commuting,184768.54,USD,2.917,538.97,2024-04-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 1,Business Travel - Air,12931.22,USD,1.648,21.31,2024-11-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 1,Business Travel - Air,424653.99,USD,2.195,932.12,2024-02-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 4,Business Travel - Air,246522.41,USD,0.227,55.96,2024-03-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 1,Office Supplies,448746.45,USD,1.583,710.37,2024-12-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 12,Raw Materials - Aluminum,290804.54,USD,1.541,448.13,2024-11-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 10,Product Use Phase,32079.15,USD,2.004,64.29,2024-03-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 5,IT Hardware,463094.93,USD,1.209,559.88,2024-12-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 8,Manufacturing Equipment,117572.0,USD,2.833,333.08,2024-03-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 2,Packaging Materials,225333.81,USD,0.976,219.93,2024-02-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 8,Manufacturing Equipment,232209.95,USD,2.565,595.62,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 14,Product Use Phase,21124.57,USD,2.516,53.15,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 12,Office Supplies,484231.6,USD,1.219,590.28,2024-01-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 14,Packaging Materials,16509.96,USD,1.243,20.52,2024-08-15,OfficeMax,Scope 3 emissions category,Primary data
Category 8,Raw Materials - Aluminum,402144.48,USD,0.462,185.79,2024-01-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 3,Office Supplies,412013.03,USD,1.148,472.99,2024-11-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 10,Manufacturing Equipment,458796.86,USD,0.271,124.33,2024-02-15,OfficeMax,Scope 3 emissions category,Industry average
Category 13,Packaging Materials,46897.34,USD,2.549,119.54,2024-06-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 8,Raw Materials - Steel,84826.62,USD,1.743,147.85,2024-12-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 1,Business Travel - Air,341923.25,USD,0.56,191.48,2024-04-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 5,Employee Commuting,441828.48,USD,0.152,67.16,2024-10-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 8,Business Travel - Air,441506.51,USD,1.463,645.92,2024-02-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 3,Business Travel - Air,100529.45,USD,2.66,267.41,2024-09-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 13,Raw Materials - Steel,494712.4,USD,2.357,1166.04,2024-06-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 13,Employee Commuting,172673.03,USD,1.719,296.82,2024-06-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 3,Raw Materials - Steel,160119.91,USD,0.696,111.44,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 9,IT Hardware,383654.24,USD,2.999,1150.58,2024-03-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 11,Office Supplies,133996.97,USD,2.458,329.36,2024-12-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 10,Business Travel - Air,178047.51,USD,2.526,449.75,2024-03-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 10,IT Hardware,403298.9,USD,2.108,850.15,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 10,Product Use Phase,71909.04,USD,2.848,204.8,2024-08-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 8,Raw Materials - Steel,46038.43,USD,0.736,33.88,2024-04-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 8,Raw Materials - Steel,166535.26,USD,1.862,310.09,2024-03-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 15,IT Hardware,30718.43,USD,0.486,14.93,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 14,Inbound Logistics - Truck,430474.06,USD,2.884,1241.49,2024-06-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 2,IT Hardware,151580.81,USD,0.453,68.67,2024-03-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 11,IT Hardware,87927.13,USD,2.908,255.69,2024-12-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 11,Product Use Phase,407412.66,USD,1.166,475.04,2024-12-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 3,Raw Materials - Steel,474445.26,USD,2.849,1351.69,2024-07-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 10,IT Hardware,460598.07,USD,2.904,1337.58,2024-04-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 3,IT Hardware,372926.32,USD,0.752,280.44,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 14,IT Hardware,223868.34,USD,0.832,186.26,2024-04-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 5,Raw Materials - Aluminum,360486.38,USD,0.192,69.21,2024-08-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 15,Business Travel - Air,247047.91,USD,1.167,288.3,2024-09-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 14,Employee Commuting,394576.27,USD,1.755,692.48,2024-11-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 8,Raw Materials - Aluminum,399798.09,USD,0.149,59.57,2024-01-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 2,Raw Materials - Aluminum,171562.29,USD,2.669,457.9,2024-03-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 15,Raw Materials - Aluminum,169637.34,USD,2.957,501.62,2024-08-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 11,Packaging Materials,304051.5,USD,1.331,404.69,2024-01-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 4,Office Supplies,205230.65,USD,1.685,345.81,2024-12-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 5,Office Supplies,48862.04,USD,1.209,59.07,2024-09-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 1,IT Hardware,2903.97,USD,0.309,0.9,2024-11-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 2,Raw Materials - Steel,104269.54,USD,1.933,201.55,2024-02-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 5,Business Travel - Air,236001.28,USD,2.69,634.84,2024-05-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 7,Packaging Materials,186139.24,USD,1.175,218.71,2024-03-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 5,Employee Commuting,233063.92,USD,0.717,167.11,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 13,Raw Materials - Aluminum,43767.95,USD,1.064,46.57,2024-09-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 4,Inbound Logistics - Truck,31430.89,USD,1.192,37.47,2024-09-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 11,Employee Commuting,286784.43,USD,0.745,213.65,2024-05-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 15,Raw Materials - Steel,251548.63,USD,2.706,680.69,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 13,Employee Commuting,87266.61,USD,2.954,257.79,2024-04-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 1,Business Travel - Air,40105.89,USD,2.065,82.82,2024-04-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 5,IT Hardware,455491.44,USD,2.747,1251.23,2024-02-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 9,Business Travel - Air,276475.04,USD,2.577,712.48,2024-09-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 13,Product Use Phase,294200.47,USD,2.356,693.14,2024-02-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 3,Product Use Phase,294379.13,USD,2.287,673.25,2024-02-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 13,Raw Materials - Aluminum,393087.07,USD,2.609,1025.56,2024-06-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 7,Employee Commuting,286439.6,USD,1.445,413.91,2024-03-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 3,Product Use Phase,304718.98,USD,2.096,638.69,2024-01-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 12,Office Supplies,25596.2,USD,1.452,37.17,2024-05-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 6,Manufacturing Equipment,156163.7,USD,2.536,396.03,2024-12-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 3,Manufacturing Equipment,487135.49,USD,1.357,661.04,2024-06-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 10,Raw Materials - Aluminum,94779.91,USD,0.674,63.88,2024-07-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 14,IT Hardware,410687.68,USD,1.57,644.78,2024-03-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 12,Inbound Logistics - Truck,202289.19,USD,2.353,475.99,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 4,Office Supplies,418651.36,USD,0.786,329.06,2024-08-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 12,Office Supplies,137714.77,USD,2.479,341.39,2024-09-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 11,Raw Materials - Steel,121727.11,USD,1.492,181.62,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 10,Inbound Logistics - Truck,175530.19,USD,0.532,93.38,2024-05-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 1,Business Travel - Air,25775.87,USD,2.569,66.22,2024-04-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 11,Office Supplies,135272.71,USD,1.258,170.17,2024-01-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 15,Packaging Materials,324038.41,USD,1.823,590.72,2024-01-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 10,Manufacturing Equipment,356657.5,USD,2.143,764.32,2024-05-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 14,IT Hardware,230040.01,USD,0.694,159.65,2024-05-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 2,Raw Materials - Steel,256245.35,USD,2.004,513.52,2024-06-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 11,Raw Materials - Aluminum,241387.47,USD,1.042,251.53,2024-05-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 5,Manufacturing Equipment,94991.68,USD,1.576,149.71,2024-04-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 7,IT Hardware,340697.12,USD,2.178,742.04,2024-11-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 5,Business Travel - Air,202894.85,USD,2.223,451.04,2024-10-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 12,Office Supplies,343472.74,USD,1.933,663.93,2024-08-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 5,Packaging Materials,420478.71,USD,2.636,1108.38,2024-03-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 8,Packaging Materials,370718.53,USD,2.189,811.5,2024-09-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 11,Raw Materials - Aluminum,111904.5,USD,0.709,79.34,2024-05-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 6,Manufacturing Equipment,293199.78,USD,1.418,415.76,2024-02-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 14,Product Use Phase,290576.24,USD,1.881,546.57,2024-08-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 2,Business Travel - Air,265389.41,USD,1.269,336.78,2024-03-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 6,Business Travel - Air,493608.61,USD,2.684,1324.85,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 14,Packaging Materials,389691.65,USD,1.488,579.86,2024-11-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 11,Raw Materials - Steel,3352.04,USD,0.857,2.87,2024-03-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 13,Raw Materials - Aluminum,65573.57,USD,1.329,87.15,2024-07-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 8,Business Travel - Air,3329.9,USD,1.625,5.41,2024-12-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 15,IT Hardware,378667.02,USD,1.617,612.3,2024-01-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 4,IT Hardware,156734.04,USD,0.353,55.33,2024-09-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 2,Raw Materials - Steel,149802.92,USD,0.908,136.02,2024-12-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 15,Packaging Materials,172023.69,USD,2.709,466.01,2024-06-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 15,Business Travel - Air,10543.24,USD,0.712,7.51,2024-03-15,OfficeMax,Scope 3 emissions category,Primary data
Category 10,Inbound Logistics - Truck,85323.39,USD,1.131,96.5,2024-11-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 15,Manufacturing Equipment,385853.58,USD,1.888,728.49,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 11,Raw Materials - Steel,25069.29,USD,0.392,9.83,2024-08-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 9,Manufacturing Equipment,237723.77,USD,0.502,119.34,2024-12-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 7,Raw Materials - Aluminum,331579.0,USD,0.846,280.52,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 14,Raw Materials - Aluminum,256280.81,USD,1.872,479.76,2024-05-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 8,Office Supplies,304891.9,USD,2.345,714.97,2024-09-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 12,Business Travel - Air,148380.25,USD,0.166,24.63,2024-08-15,OfficeMax,Scope 3 emissions category,Industry average
Category 6,Office Supplies,2366.26,USD,2.031,4.81,2024-02-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 2,Inbound Logistics - Truck,38449.06,USD,2.185,84.01,2024-05-15,OfficeMax,Scope 3 emissions category,Industry average
Category 5,Manufacturing Equipment,232674.4,USD,0.344,80.04,2024-03-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 6,IT Hardware,213571.61,USD,0.392,83.72,2024-01-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 11,Packaging Materials,165001.75,USD,2.689,443.69,2024-10-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 6,IT Hardware,92251.84,USD,1.232,113.65,2024-08-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 12,Employee Commuting,400149.65,USD,1.964,785.89,2024-03-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 12,Raw Materials - Steel,490803.02,USD,2.541,1247.13,2024-02-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 8,Product Use Phase,339518.17,USD,0.585,198.62,2024-07-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 1,Packaging Materials,242056.75,USD,1.49,360.66,2024-07-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 2,Manufacturing Equipment,327831.81,USD,0.086,28.19,2024-11-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 9,Inbound Logistics - Truck,344432.58,USD,1.874,645.47,2024-07-15,OfficeMax,Scope 3 emissions category,Industry average
Category 6,Business Travel - Air,75178.57,USD,2.488,187.04,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 11,Packaging Materials,253278.22,USD,1.434,363.2,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 13,Employee Commuting,160996.27,USD,1.026,165.18,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 4,Inbound Logistics - Truck,322015.34,USD,1.24,399.3,2024-04-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 8,Product Use Phase,224601.19,USD,2.577,578.8,2024-08-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 8,Raw Materials - Steel,52219.02,USD,1.266,66.11,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 13,Product Use Phase,481622.45,USD,1.931,930.01,2024-09-15,OfficeMax,Scope 3 emissions category,Industry average
Category 6,IT Hardware,412830.18,USD,2.459,1015.15,2024-08-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 13,Product Use Phase,300375.62,USD,2.164,650.01,2024-06-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 2,Office Supplies,2096.28,USD,1.098,2.3,2024-11-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 9,IT Hardware,351345.93,USD,0.185,65.0,2024-03-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 14,Business Travel - Air,54373.79,USD,1.852,100.7,2024-04-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 4,Employee Commuting,412452.52,USD,0.612,252.42,2024-06-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 1,Product Use Phase,62486.38,USD,2.681,167.53,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 1,Inbound Logistics - Truck,368370.75,USD,1.682,619.6,2024-07-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 13,Packaging Materials,346217.04,USD,0.562,194.57,2024-03-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 11,Product Use Phase,303474.23,USD,0.999,303.17,2024-07-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 15,Office Supplies,137524.34,USD,2.893,397.86,2024-05-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 3,Business Travel - Air,301659.7,USD,2.665,803.92,2024-09-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 14,IT Hardware,356225.3,USD,2.81,1000.99,2024-11-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 4,Product Use Phase,357477.88,USD,2.076,742.12,2024-11-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 9,Inbound Logistics - Truck,347461.67,USD,1.001,347.81,2024-02-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 8,Product Use Phase,285748.46,USD,2.018,576.64,2024-07-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 13,Raw Materials - Steel,261842.26,USD,0.125,32.73,2024-03-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 4,Manufacturing Equipment,375342.32,USD,0.525,197.05,2024-05-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 14,Raw Materials - Steel,345606.83,USD,0.921,318.3,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 14,Employee Commuting,52137.52,USD,2.611,136.13,2024-12-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 7,Office Supplies,255950.23,USD,2.401,614.54,2024-12-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 15,Business Travel - Air,194389.77,USD,2.872,558.29,2024-11-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 1,Raw Materials - Steel,372091.31,USD,0.649,241.49,2024-08-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 13,Product Use Phase,273760.95,USD,1.83,500.98,2024-12-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 8,Packaging Materials,491743.21,USD,0.27,132.77,2024-03-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 1,Business Travel - Air,140277.01,USD,0.83,116.43,2024-03-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 6,Employee Commuting,355134.96,USD,0.507,180.05,2024-03-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 1,Product Use Phase,421726.85,USD,0.938,395.58,2024-10-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 13,IT Hardware,263172.14,USD,2.873,756.09,2024-09-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 3,Business Travel - Air,271997.0,USD,1.24,337.28,2024-06-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 11,IT Hardware,166202.2,USD,0.916,152.24,2024-10-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 14,Raw Materials - Steel,58246.25,USD,1.071,62.38,2024-04-15,OfficeMax,Scope 3 emissions category,Primary data
Category 11,IT Hardware,191304.93,USD,2.399,458.94,2024-02-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 9,Manufacturing Equipment,13328.16,USD,1.575,20.99,2024-06-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 1,Manufacturing Equipment,449242.52,USD,0.618,277.63,2024-09-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 3,Inbound Logistics - Truck,267069.71,USD,1.899,507.17,2024-04-15,OfficeMax,Scope 3 emissions category,Industry average
Category 14,Raw Materials - Aluminum,103584.2,USD,2.495,258.44,2024-12-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 12,Packaging Materials,12852.72,USD,2.165,27.83,2024-01-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 1,Packaging Materials,397313.18,USD,1.696,673.84,2024-10-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 7,Business Travel - Air,226111.71,USD,1.243,281.06,2024-06-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 11,Raw Materials - Aluminum,267882.35,USD,1.942,520.23,2024-10-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 1,Raw Materials - Aluminum,179492.37,USD,1.533,275.16,2024-05-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 2,Manufacturing Equipment,382871.85,USD,1.341,513.43,2024-07-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 3,Inbound Logistics - Truck,110713.0,USD,2.253,249.44,2024-09-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 5,IT Hardware,478738.43,USD,0.083,39.74,2024-09-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 1,Raw Materials - Steel,286786.58,USD,1.213,347.87,2024-09-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 4,IT Hardware,106656.73,USD,2.722,290.32,2024-09-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 3,Office Supplies,308825.58,USD,0.796,245.83,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 14,Raw Materials - Steel,425842.47,USD,2.8,1192.36,2024-09-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 2,Manufacturing Equipment,336170.94,USD,0.79,265.58,2024-04-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 6,Packaging Materials,335976.49,USD,0.742,249.29,2024-05-15,MetalSupply Co,Scope 3 emissions category,Secondary data
